coefficient,value,model_domain,model_version
SNPNE_MCAID_NORIGDIS_NEF65,1.546,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEF66,1.546,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEF67,1.569,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEF68,1.569,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEF69,1.569,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEF70_74,1.776,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEF75_79,1.973,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEF80_84,2.162,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEF85_89,2.381,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEF90_94,2.602,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEF95_GT,2.602,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM0_34,1.329,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM35_44,1.658,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM45_54,1.954,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM55_59,2.091,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM60_64,2.187,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM65,1.478,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM66,1.485,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM67,1.6,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM68,1.6,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM69,1.703,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM70_74,1.898,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM75_79,2.08,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM80_84,2.229,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM85_89,2.544,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM90_94,2.544,CMS-HCC,C22
SNPNE_MCAID_NORIGDIS_NEM95_GT,2.544,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEF65,1.747,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEF66,1.785,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEF67,1.805,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEF68,1.805,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEF69,1.805,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEF70_74,1.932,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEF75_79,2.096,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEF80_84,2.252,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEF85_89,2.252,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEF90_94,2.252,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEF95_GT,2.252,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEM65,1.655,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEM66,1.691,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEM67,1.705,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEM68,1.734,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEM69,1.78,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEM70_74,1.874,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEM75_79,2,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEM80_84,2.254,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEM85_89,2.254,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEM90_94,2.254,CMS-HCC,C22
SNPNE_NMCAID_ORIGDIS_NEM95_GT,2.254,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEF65,2.161,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEF66,2.214,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEF67,2.272,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEF68,2.272,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEF69,2.272,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEF70_74,2.415,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEF75_79,2.576,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEF80_84,2.844,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEF85_89,2.844,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEF90_94,2.844,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEF95_GT,2.844,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEM65,2.224,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEM66,2.224,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEM67,2.36,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEM68,2.36,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEM69,2.36,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEM70_74,2.356,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEM75_79,2.582,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEM80_84,2.582,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEM85_89,2.582,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEM90_94,2.582,CMS-HCC,C22
SNPNE_MCAID_ORIGDIS_NEM95_GT,2.582,CMS-HCC,C22
CNA_F65_69,0.33,CMS-HCC,C28
CNA_F70_74,0.395,CMS-HCC,C28
CNA_F75_79,0.465,CMS-HCC,C28
CNA_F80_84,0.524,CMS-HCC,C28
CNA_F85_89,0.624,CMS-HCC,C28
CNA_F90_94,0.737,CMS-HCC,C28
CNA_F95_GT,0.742,CMS-HCC,C28
CNA_M65_69,0.332,CMS-HCC,C28
CNA_M70_74,0.396,CMS-HCC,C28
CNA_M75_79,0.502,CMS-HCC,C28
CNA_M80_84,0.571,CMS-HCC,C28
CNA_M85_89,0.664,CMS-HCC,C28
CNA_M90_94,0.8,CMS-HCC,C28
CNA_M95_GT,0.896,CMS-HCC,C28
CNA_OriginallyDisabled_Female,0.228,CMS-HCC,C28
CNA_OriginallyDisabled_Male,0.135,CMS-HCC,C28
CNA_HCC1,0.301,CMS-HCC,C28
CNA_HCC2,0.5,CMS-HCC,C28
CNA_HCC6,0.381,CMS-HCC,C28
CNA_HCC17,4.209,CMS-HCC,C28
CNA_HCC18,2.341,CMS-HCC,C28
CNA_HCC19,1.798,CMS-HCC,C28
CNA_HCC20,1.136,CMS-HCC,C28
CNA_HCC21,0.671,CMS-HCC,C28
CNA_HCC22,0.363,CMS-HCC,C28
CNA_HCC23,0.186,CMS-HCC,C28
CNA_HCC35,0.949,CMS-HCC,C28
CNA_HCC36,0.166,CMS-HCC,C28
CNA_HCC37,0.166,CMS-HCC,C28
CNA_HCC38,0.166,CMS-HCC,C28
CNA_HCC48,0.186,CMS-HCC,C28
CNA_HCC49,9.256,CMS-HCC,C28
CNA_HCC50,0.648,CMS-HCC,C28
CNA_HCC51,0.51,CMS-HCC,C28
CNA_HCC62,0.376,CMS-HCC,C28
CNA_HCC63,0.962,CMS-HCC,C28
CNA_HCC64,0.447,CMS-HCC,C28
CNA_HCC65,0.185,CMS-HCC,C28
CNA_HCC68,0.388,CMS-HCC,C28
CNA_HCC77,1.172,CMS-HCC,C28
CNA_HCC78,0.326,CMS-HCC,C28
CNA_HCC79,0.357,CMS-HCC,C28
CNA_HCC80,0.55,CMS-HCC,C28
CNA_HCC81,0.244,CMS-HCC,C28
CNA_HCC92,0.479,CMS-HCC,C28
CNA_HCC93,0.617,CMS-HCC,C28
CNA_HCC94,0.268,CMS-HCC,C28
CNA_HCC107,0.457,CMS-HCC,C28
CNA_HCC108,0.146,CMS-HCC,C28
CNA_HCC109,1.144,CMS-HCC,C28
CNA_HCC111,4.639,CMS-HCC,C28
CNA_HCC112,0.45,CMS-HCC,C28
CNA_HCC114,2.262,CMS-HCC,C28
CNA_HCC115,0.565,CMS-HCC,C28
CNA_HCC125,0.341,CMS-HCC,C28
CNA_HCC126,0.341,CMS-HCC,C28
CNA_HCC127,0.341,CMS-HCC,C28
CNA_HCC135,0.424,CMS-HCC,C28
CNA_HCC136,0.424,CMS-HCC,C28
CNA_HCC137,0.424,CMS-HCC,C28
CNA_HCC138,0.423,CMS-HCC,C28
CNA_HCC139,0.242,CMS-HCC,C28
CNA_HCC151,0.511,CMS-HCC,C28
CNA_HCC152,0.484,CMS-HCC,C28
CNA_HCC153,0.396,CMS-HCC,C28
CNA_HCC154,0.351,CMS-HCC,C28
CNA_HCC155,0.299,CMS-HCC,C28
CNA_HCC180,1.125,CMS-HCC,C28
CNA_HCC181,0.942,CMS-HCC,C28
CNA_HCC182,0.478,CMS-HCC,C28
CNA_HCC190,1.175,CMS-HCC,C28
CNA_HCC191,0.855,CMS-HCC,C28
CNA_HCC192,0.314,CMS-HCC,C28
CNA_HCC193,1.692,CMS-HCC,C28
CNA_HCC195,2.909,CMS-HCC,C28
CNA_HCC196,0.516,CMS-HCC,C28
CNA_HCC197,0.426,CMS-HCC,C28
CNA_HCC198,0.647,CMS-HCC,C28
CNA_HCC199,0.615,CMS-HCC,C28
CNA_HCC200,0.279,CMS-HCC,C28
CNA_HCC201,0.245,CMS-HCC,C28
CNA_HCC202,0.543,CMS-HCC,C28
CNA_HCC211,0.879,CMS-HCC,C28
CNA_HCC212,0.37,CMS-HCC,C28
CNA_HCC213,0.37,CMS-HCC,C28
CNA_HCC221,1.053,CMS-HCC,C28
CNA_HCC222,2.505,CMS-HCC,C28
CNA_HCC223,2.505,CMS-HCC,C28
CNA_HCC224,0.36,CMS-HCC,C28
CNA_HCC225,0.36,CMS-HCC,C28
CNA_HCC226,0.36,CMS-HCC,C28
CNA_HCC227,0.189,CMS-HCC,C28
CNA_HCC228,0.252,CMS-HCC,C28
CNA_HCC229,0.24,CMS-HCC,C28
CNA_HCC238,0.299,CMS-HCC,C28
CNA_HCC248,0.239,CMS-HCC,C28
CNA_HCC249,0.239,CMS-HCC,C28
CNA_HCC253,0.387,CMS-HCC,C28
CNA_HCC254,0.321,CMS-HCC,C28
CNA_HCC263,1.118,CMS-HCC,C28
CNA_HCC264,0.455,CMS-HCC,C28
CNA_HCC267,0.294,CMS-HCC,C28
CNA_HCC276,2.531,CMS-HCC,C28
CNA_HCC277,0.998,CMS-HCC,C28
CNA_HCC278,0.818,CMS-HCC,C28
CNA_HCC279,0.818,CMS-HCC,C28
CNA_HCC280,0.319,CMS-HCC,C28
CNA_HCC282,0.44,CMS-HCC,C28
CNA_HCC283,0.204,CMS-HCC,C28
CNA_HCC298,0.336,CMS-HCC,C28
CNA_HCC300,0.596,CMS-HCC,C28
CNA_HCC326,0.815,CMS-HCC,C28
CNA_HCC327,0.514,CMS-HCC,C28
CNA_HCC328,0.127,CMS-HCC,C28
CNA_HCC329,0.127,CMS-HCC,C28
CNA_HCC379,1.965,CMS-HCC,C28
CNA_HCC380,1.078,CMS-HCC,C28
CNA_HCC381,1.075,CMS-HCC,C28
CNA_HCC382,0.838,CMS-HCC,C28
CNA_HCC383,0.646,CMS-HCC,C28
CNA_HCC385,1.291,CMS-HCC,C28
CNA_HCC387,0.406,CMS-HCC,C28
CNA_HCC397,0.199,CMS-HCC,C28
CNA_HCC398,0.199,CMS-HCC,C28
CNA_HCC399,0.199,CMS-HCC,C28
CNA_HCC401,0.522,CMS-HCC,C28
CNA_HCC402,0.467,CMS-HCC,C28
CNA_HCC405,0.598,CMS-HCC,C28
CNA_HCC409,0.598,CMS-HCC,C28
CNA_HCC454,1.068,CMS-HCC,C28
CNA_HCC463,0.673,CMS-HCC,C28
CNA_DIABETES_HF_V28,0.112,CMS-HCC,C28
CNA_HF_CHR_LUNG_V28,0.078,CMS-HCC,C28
CNA_HF_KIDNEY_V28,0.176,CMS-HCC,C28
CNA_CHR_LUNG_CARD_RESP_FAIL_V28,0.254,CMS-HCC,C28
CNA_HF_HCC238_V28,0.077,CMS-HCC,C28
CNA_D5,0.05,CMS-HCC,C28
CNA_D6,0.102,CMS-HCC,C28
CNA_D7,0.188,CMS-HCC,C28
CNA_D8,0.316,CMS-HCC,C28
CNA_D9,0.444,CMS-HCC,C28
CNA_D10P,0.728,CMS-HCC,C28
CNA_D1,0,CMS-HCC,C28
CNA_D2,0,CMS-HCC,C28
CNA_D3,0,CMS-HCC,C28
CNA_D4,0,CMS-HCC,C28
CND_F0_34,0.238,CMS-HCC,C28
CND_F35_44,0.288,CMS-HCC,C28
CND_F45_54,0.34,CMS-HCC,C28
CND_F55_59,0.385,CMS-HCC,C28
CND_F60_64,0.436,CMS-HCC,C28
CND_M0_34,0.106,CMS-HCC,C28
CND_M35_44,0.154,CMS-HCC,C28
CND_M45_54,0.215,CMS-HCC,C28
CND_M55_59,0.283,CMS-HCC,C28
CND_M60_64,0.345,CMS-HCC,C28
CND_HCC1,0.213,CMS-HCC,C28
CND_HCC2,0.598,CMS-HCC,C28
CND_HCC6,0.763,CMS-HCC,C28
CND_HCC17,3.995,CMS-HCC,C28
CND_HCC18,2.486,CMS-HCC,C28
CND_HCC19,1.989,CMS-HCC,C28
CND_HCC20,0.978,CMS-HCC,C28
CND_HCC21,0.54,CMS-HCC,C28
CND_HCC22,0.366,CMS-HCC,C28
CND_HCC23,0.233,CMS-HCC,C28
CND_HCC35,1.393,CMS-HCC,C28
CND_HCC36,0.191,CMS-HCC,C28
CND_HCC37,0.191,CMS-HCC,C28
CND_HCC38,0.191,CMS-HCC,C28
CND_HCC48,0.144,CMS-HCC,C28
CND_HCC49,13.778,CMS-HCC,C28
CND_HCC50,0.883,CMS-HCC,C28
CND_HCC51,0.606,CMS-HCC,C28
CND_HCC62,0.184,CMS-HCC,C28
CND_HCC63,1.032,CMS-HCC,C28
CND_HCC64,0.383,CMS-HCC,C28
CND_HCC65,0.248,CMS-HCC,C28
CND_HCC68,0.383,CMS-HCC,C28
CND_HCC77,6.301,CMS-HCC,C28
CND_HCC78,0.534,CMS-HCC,C28
CND_HCC79,0.574,CMS-HCC,C28
CND_HCC80,0.635,CMS-HCC,C28
CND_HCC81,0.285,CMS-HCC,C28
CND_HCC92,0.529,CMS-HCC,C28
CND_HCC93,0.47,CMS-HCC,C28
CND_HCC94,0.239,CMS-HCC,C28
CND_HCC107,1.449,CMS-HCC,C28
CND_HCC108,0.386,CMS-HCC,C28
CND_HCC109,1.815,CMS-HCC,C28
CND_HCC111,30.706,CMS-HCC,C28
CND_HCC112,0.64,CMS-HCC,C28
CND_HCC114,2.598,CMS-HCC,C28
CND_HCC115,0.692,CMS-HCC,C28
CND_HCC125,0.296,CMS-HCC,C28
CND_HCC126,0.296,CMS-HCC,C28
CND_HCC127,0.296,CMS-HCC,C28
CND_HCC135,0.637,CMS-HCC,C28
CND_HCC136,0.637,CMS-HCC,C28
CND_HCC137,0.365,CMS-HCC,C28
CND_HCC138,0.264,CMS-HCC,C28
CND_HCC139,0.207,CMS-HCC,C28
CND_HCC151,0.38,CMS-HCC,C28
CND_HCC152,0.29,CMS-HCC,C28
CND_HCC153,0.29,CMS-HCC,C28
CND_HCC154,0.166,CMS-HCC,C28
CND_HCC155,0.166,CMS-HCC,C28
CND_HCC180,0.986,CMS-HCC,C28
CND_HCC181,0.648,CMS-HCC,C28
CND_HCC182,0.368,CMS-HCC,C28
CND_HCC190,1.792,CMS-HCC,C28
CND_HCC191,0.743,CMS-HCC,C28
CND_HCC192,0.129,CMS-HCC,C28
CND_HCC193,1.427,CMS-HCC,C28
CND_HCC195,3.633,CMS-HCC,C28
CND_HCC196,0.642,CMS-HCC,C28
CND_HCC197,0.632,CMS-HCC,C28
CND_HCC198,0.908,CMS-HCC,C28
CND_HCC199,0.517,CMS-HCC,C28
CND_HCC200,0.208,CMS-HCC,C28
CND_HCC201,0.196,CMS-HCC,C28
CND_HCC202,0.238,CMS-HCC,C28
CND_HCC211,0.878,CMS-HCC,C28
CND_HCC212,0.51,CMS-HCC,C28
CND_HCC213,0.51,CMS-HCC,C28
CND_HCC221,0.999,CMS-HCC,C28
CND_HCC222,5.77,CMS-HCC,C28
CND_HCC223,5.77,CMS-HCC,C28
CND_HCC224,0.442,CMS-HCC,C28
CND_HCC225,0.442,CMS-HCC,C28
CND_HCC226,0.442,CMS-HCC,C28
CND_HCC227,0.2,CMS-HCC,C28
CND_HCC228,0.254,CMS-HCC,C28
CND_HCC229,0.254,CMS-HCC,C28
CND_HCC238,0.296,CMS-HCC,C28
CND_HCC248,0.18,CMS-HCC,C28
CND_HCC249,0.18,CMS-HCC,C28
CND_HCC253,0.32,CMS-HCC,C28
CND_HCC254,0.172,CMS-HCC,C28
CND_HCC263,1.066,CMS-HCC,C28
CND_HCC264,0.52,CMS-HCC,C28
CND_HCC267,0.431,CMS-HCC,C28
CND_HCC276,1.583,CMS-HCC,C28
CND_HCC277,2.818,CMS-HCC,C28
CND_HCC278,1.209,CMS-HCC,C28
CND_HCC279,0.842,CMS-HCC,C28
CND_HCC280,0.209,CMS-HCC,C28
CND_HCC282,0.362,CMS-HCC,C28
CND_HCC283,0,CMS-HCC,C28
CND_HCC298,0.364,CMS-HCC,C28
CND_HCC300,0.366,CMS-HCC,C28
CND_HCC326,0.927,CMS-HCC,C28
CND_HCC327,0.523,CMS-HCC,C28
CND_HCC328,0.179,CMS-HCC,C28
CND_HCC329,0.179,CMS-HCC,C28
CND_HCC379,2.14,CMS-HCC,C28
CND_HCC380,1.091,CMS-HCC,C28
CND_HCC381,1.091,CMS-HCC,C28
CND_HCC382,0.994,CMS-HCC,C28
CND_HCC383,0.707,CMS-HCC,C28
CND_HCC385,0.234,CMS-HCC,C28
CND_HCC387,0.302,CMS-HCC,C28
CND_HCC397,0.15,CMS-HCC,C28
CND_HCC398,0.15,CMS-HCC,C28
CND_HCC399,0.15,CMS-HCC,C28
CND_HCC401,0.605,CMS-HCC,C28
CND_HCC402,0.561,CMS-HCC,C28
CND_HCC405,0.577,CMS-HCC,C28
CND_HCC409,0.562,CMS-HCC,C28
CND_HCC454,0.452,CMS-HCC,C28
CND_HCC463,0.914,CMS-HCC,C28
CND_DIABETES_HF_V28,0.023,CMS-HCC,C28
CND_HF_CHR_LUNG_V28,0.062,CMS-HCC,C28
CND_HF_KIDNEY_V28,0.314,CMS-HCC,C28
CND_CHR_LUNG_CARD_RESP_FAIL_V28,0.242,CMS-HCC,C28
CND_HF_HCC238_V28,0.257,CMS-HCC,C28
CND_gSubUseDisorder_gPsych_V28,0.087,CMS-HCC,C28
CND_D5,0.088,CMS-HCC,C28
CND_D6,0.223,CMS-HCC,C28
CND_D7,0.38,CMS-HCC,C28
CND_D8,0.44,CMS-HCC,C28
CND_D9,0.75,CMS-HCC,C28
CND_D10P,1.431,CMS-HCC,C28
CND_D1,0,CMS-HCC,C28
CND_D2,0,CMS-HCC,C28
CND_D3,0,CMS-HCC,C28
CND_D4,0,CMS-HCC,C28
CFA_F65_69,0.435,CMS-HCC,C28
CFA_F70_74,0.506,CMS-HCC,C28
CFA_F75_79,0.596,CMS-HCC,C28
CFA_F80_84,0.665,CMS-HCC,C28
CFA_F85_89,0.775,CMS-HCC,C28
CFA_F90_94,0.869,CMS-HCC,C28
CFA_F95_GT,0.877,CMS-HCC,C28
CFA_M65_69,0.531,CMS-HCC,C28
CFA_M70_74,0.626,CMS-HCC,C28
CFA_M75_79,0.714,CMS-HCC,C28
CFA_M80_84,0.789,CMS-HCC,C28
CFA_M85_89,0.907,CMS-HCC,C28
CFA_M90_94,0.993,CMS-HCC,C28
CFA_M95_GT,1.058,CMS-HCC,C28
CFA_OriginallyDisabled_Female,0.16,CMS-HCC,C28
CFA_OriginallyDisabled_Male,0.158,CMS-HCC,C28
CFA_HCC1,0.397,CMS-HCC,C28
CFA_HCC2,0.649,CMS-HCC,C28
CFA_HCC6,0.588,CMS-HCC,C28
CFA_HCC17,3.896,CMS-HCC,C28
CFA_HCC18,2.277,CMS-HCC,C28
CFA_HCC19,1.563,CMS-HCC,C28
CFA_HCC20,1.166,CMS-HCC,C28
CFA_HCC21,0.654,CMS-HCC,C28
CFA_HCC22,0.382,CMS-HCC,C28
CFA_HCC23,0.196,CMS-HCC,C28
CFA_HCC35,1.117,CMS-HCC,C28
CFA_HCC36,0.186,CMS-HCC,C28
CFA_HCC37,0.186,CMS-HCC,C28
CFA_HCC38,0.186,CMS-HCC,C28
CFA_HCC48,0.3,CMS-HCC,C28
CFA_HCC49,2.833,CMS-HCC,C28
CFA_HCC50,0.555,CMS-HCC,C28
CFA_HCC51,0.634,CMS-HCC,C28
CFA_HCC62,0.261,CMS-HCC,C28
CFA_HCC63,1.102,CMS-HCC,C28
CFA_HCC64,0.475,CMS-HCC,C28
CFA_HCC65,0.101,CMS-HCC,C28
CFA_HCC68,0.085,CMS-HCC,C28
CFA_HCC77,5.039,CMS-HCC,C28
CFA_HCC78,0.382,CMS-HCC,C28
CFA_HCC79,0.525,CMS-HCC,C28
CFA_HCC80,0.49,CMS-HCC,C28
CFA_HCC81,0.201,CMS-HCC,C28
CFA_HCC92,0.611,CMS-HCC,C28
CFA_HCC93,0.439,CMS-HCC,C28
CFA_HCC94,0.237,CMS-HCC,C28
CFA_HCC107,0.61,CMS-HCC,C28
CFA_HCC108,0.103,CMS-HCC,C28
CFA_HCC109,1.048,CMS-HCC,C28
CFA_HCC111,15.539,CMS-HCC,C28
CFA_HCC112,0.46,CMS-HCC,C28
CFA_HCC114,2.016,CMS-HCC,C28
CFA_HCC115,0.438,CMS-HCC,C28
CFA_HCC125,0.438,CMS-HCC,C28
CFA_HCC126,0.438,CMS-HCC,C28
CFA_HCC127,0.438,CMS-HCC,C28
CFA_HCC135,0.702,CMS-HCC,C28
CFA_HCC136,0.502,CMS-HCC,C28
CFA_HCC137,0.502,CMS-HCC,C28
CFA_HCC138,0.502,CMS-HCC,C28
CFA_HCC139,0.478,CMS-HCC,C28
CFA_HCC151,0.591,CMS-HCC,C28
CFA_HCC152,0.579,CMS-HCC,C28
CFA_HCC153,0.42,CMS-HCC,C28
CFA_HCC154,0.349,CMS-HCC,C28
CFA_HCC155,0.316,CMS-HCC,C28
CFA_HCC180,1.068,CMS-HCC,C28
CFA_HCC181,0.859,CMS-HCC,C28
CFA_HCC182,0.402,CMS-HCC,C28
CFA_HCC190,1.427,CMS-HCC,C28
CFA_HCC191,0.393,CMS-HCC,C28
CFA_HCC192,0,CMS-HCC,C28
CFA_HCC193,0.957,CMS-HCC,C28
CFA_HCC195,2.153,CMS-HCC,C28
CFA_HCC196,0.503,CMS-HCC,C28
CFA_HCC197,0.369,CMS-HCC,C28
CFA_HCC198,0.791,CMS-HCC,C28
CFA_HCC199,0.634,CMS-HCC,C28
CFA_HCC200,0.165,CMS-HCC,C28
CFA_HCC201,0.233,CMS-HCC,C28
CFA_HCC202,0.721,CMS-HCC,C28
CFA_HCC211,1.981,CMS-HCC,C28
CFA_HCC212,0.573,CMS-HCC,C28
CFA_HCC213,0.573,CMS-HCC,C28
CFA_HCC221,1.412,CMS-HCC,C28
CFA_HCC222,2.927,CMS-HCC,C28
CFA_HCC223,2.927,CMS-HCC,C28
CFA_HCC224,0.406,CMS-HCC,C28
CFA_HCC225,0.406,CMS-HCC,C28
CFA_HCC226,0.406,CMS-HCC,C28
CFA_HCC227,0.173,CMS-HCC,C28
CFA_HCC228,0.493,CMS-HCC,C28
CFA_HCC229,0.325,CMS-HCC,C28
CFA_HCC238,0.407,CMS-HCC,C28
CFA_HCC248,0.377,CMS-HCC,C28
CFA_HCC249,0.377,CMS-HCC,C28
CFA_HCC253,0.437,CMS-HCC,C28
CFA_HCC254,0.292,CMS-HCC,C28
CFA_HCC263,1.432,CMS-HCC,C28
CFA_HCC264,0.498,CMS-HCC,C28
CFA_HCC267,0.445,CMS-HCC,C28
CFA_HCC276,2.21,CMS-HCC,C28
CFA_HCC277,1.34,CMS-HCC,C28
CFA_HCC278,0.791,CMS-HCC,C28
CFA_HCC279,0.594,CMS-HCC,C28
CFA_HCC280,0.39,CMS-HCC,C28
CFA_HCC282,0.538,CMS-HCC,C28
CFA_HCC283,0.131,CMS-HCC,C28
CFA_HCC298,0.323,CMS-HCC,C28
CFA_HCC300,0.37,CMS-HCC,C28
CFA_HCC326,0.985,CMS-HCC,C28
CFA_HCC327,0.565,CMS-HCC,C28
CFA_HCC328,0.116,CMS-HCC,C28
CFA_HCC329,0.116,CMS-HCC,C28
CFA_HCC379,2.58,CMS-HCC,C28
CFA_HCC380,1.422,CMS-HCC,C28
CFA_HCC381,1.379,CMS-HCC,C28
CFA_HCC382,1.029,CMS-HCC,C28
CFA_HCC383,0.89,CMS-HCC,C28
CFA_HCC385,2.362,CMS-HCC,C28
CFA_HCC387,0.658,CMS-HCC,C28
CFA_HCC397,0.349,CMS-HCC,C28
CFA_HCC398,0.349,CMS-HCC,C28
CFA_HCC399,0.349,CMS-HCC,C28
CFA_HCC401,0.622,CMS-HCC,C28
CFA_HCC402,0.561,CMS-HCC,C28
CFA_HCC405,0.799,CMS-HCC,C28
CFA_HCC409,0.799,CMS-HCC,C28
CFA_HCC454,1.326,CMS-HCC,C28
CFA_HCC463,0.891,CMS-HCC,C28
CFA_DIABETES_HF_V28,0.183,CMS-HCC,C28
CFA_HF_CHR_LUNG_V28,0.109,CMS-HCC,C28
CFA_HF_KIDNEY_V28,0.194,CMS-HCC,C28
CFA_CHR_LUNG_CARD_RESP_FAIL_V28,0.34,CMS-HCC,C28
CFA_HF_HCC238_V28,0.14,CMS-HCC,C28
CFA_D5,0.049,CMS-HCC,C28
CFA_D6,0.071,CMS-HCC,C28
CFA_D7,0.16,CMS-HCC,C28
CFA_D8,0.267,CMS-HCC,C28
CFA_D9,0.353,CMS-HCC,C28
CFA_D10P,0.746,CMS-HCC,C28
CFA_D1,0,CMS-HCC,C28
CFA_D2,0,CMS-HCC,C28
CFA_D3,0,CMS-HCC,C28
CFA_D4,0,CMS-HCC,C28
CFD_F0_34,0.346,CMS-HCC,C28
CFD_F35_44,0.332,CMS-HCC,C28
CFD_F45_54,0.384,CMS-HCC,C28
CFD_F55_59,0.421,CMS-HCC,C28
CFD_F60_64,0.502,CMS-HCC,C28
CFD_M0_34,0.191,CMS-HCC,C28
CFD_M35_44,0.204,CMS-HCC,C28
CFD_M45_54,0.293,CMS-HCC,C28
CFD_M55_59,0.41,CMS-HCC,C28
CFD_M60_64,0.504,CMS-HCC,C28
CFD_HCC1,0.237,CMS-HCC,C28
CFD_HCC2,0.78,CMS-HCC,C28
CFD_HCC6,0.833,CMS-HCC,C28
CFD_HCC17,4.235,CMS-HCC,C28
CFD_HCC18,2.537,CMS-HCC,C28
CFD_HCC19,1.661,CMS-HCC,C28
CFD_HCC20,1.173,CMS-HCC,C28
CFD_HCC21,0.739,CMS-HCC,C28
CFD_HCC22,0.409,CMS-HCC,C28
CFD_HCC23,0.218,CMS-HCC,C28
CFD_HCC35,0.573,CMS-HCC,C28
CFD_HCC36,0.235,CMS-HCC,C28
CFD_HCC37,0.235,CMS-HCC,C28
CFD_HCC38,0.235,CMS-HCC,C28
CFD_HCC48,0.178,CMS-HCC,C28
CFD_HCC49,6.399,CMS-HCC,C28
CFD_HCC50,0.789,CMS-HCC,C28
CFD_HCC51,0.654,CMS-HCC,C28
CFD_HCC62,0.409,CMS-HCC,C28
CFD_HCC63,1.209,CMS-HCC,C28
